,channel_id,vertical,predicted_vertical
0,UC0m0VPPo84UHJ4m7rGl7RwQ,Auto & Vehicles,"Auto & Vehicles, 95"
10,UC1bXG2l9YmiyzlaXI0i0pqw,Kids Content,"Entertainment, 95"
20,UC4cJPXuqa-qGcDZ1sVpWAmw,Education & Science,"Tech, 90"
30,UC9YTp5M6yYgSd6t0SeL2GQw,Gaming,"Entertainment, 95"
40,UCCugZuuJpIe12kFIxhFQLxQ,Entertainment,"Entertainment, 95"
50,UCdTkML-Lu3Ka74D3fiM0jeg,Food & Drinks,"Lifestyle & Hobbies, 95"
60,UCiaZSRydY8beFPD886fS0rw,Health & Fitness,"Lifestyle & Hobbies, 95"
70,UCOGhBBuD_FPCdS4OFew7DwA,"News, Politics, & Information","Sports Editorial Content, 90"
80,UCvWQOze3mZUVHgHUyCe4s-Q,Tech,"Tech, 100"
90,UCzwi1kwlNyJhhLVrHXmvVqA,Lifestyle & Hobbies,"Entertainment, 95"
