video_title,channel_id,published_at,description,vertical,ranking
QUESTA MOTO NON HA SENSO 😱 BMW S1000RR 2024,UCOXiM0iYkuCqNfZJoNpTAHQ,2024-03-28 17:00:17.000,"350z in vendita: https://www.subito.it/auto/nissan-350z-2005-lev-2-bergamo-529316641.htm
rs125 in vendita: https://www.subito.it/moto-e-scooter/aprilia-rs-125-bergamo-522927167.htm


COLLABORATIONS: lucass98.commerciale@gmail.com


SEGUIMI SU INSTAGRAM: https://www.instagram.com/lucass98_official/?hl=it


ACQUISTA IL MIO CASCO QUI: https://www.ruroc.com/?utm_source=youtube&utm_medium=influencer&utm_campaign=l98


ACQUISTA ANCHE TU LE MIE FELPE! 
https://www.youteeshop.com/20-LUCASS98


SEGUIMI SU TWITCH!
https://www.twitch.tv/lucass98_",Auto & Vehicles,8
MARK HA COMPRATO UNA NUOVA MOTO!,UCOXiM0iYkuCqNfZJoNpTAHQ,2024-03-20 17:00:07.000,"350z in vendita: https://www.subito.it/auto/nissan-350z-2005-lev-2-bergamo-529316641.htm
rs125 in vendita: https://www.subito.it/moto-e-scooter/aprilia-rs-125-bergamo-522927167.htm


COLLABORATIONS: lucass98.commerciale@gmail.com


SEGUIMI SU INSTAGRAM: https://www.instagram.com/lucass98_official/?hl=it


ACQUISTA IL MIO CASCO QUI: https://www.ruroc.com/?utm_source=youtube&utm_medium=influencer&utm_campaign=l98


ACQUISTA ANCHE TU LE MIE FELPE! 
https://www.youteeshop.com/20-LUCASS98


SEGUIMI SU TWITCH!
https://www.twitch.tv/lucass98_",Auto & Vehicles,9
راید با هارلی در کنار لامبورگینی تو دبی,UCSKtK03rhl9irsdV3uFWiBg,2023-05-10 17:30:00.000,"این برنامه یک راید داخل دبی هست که شما رو با فضای این شهر زیبا و جذاب و مدرن آشنا می‌کنه. به ماشین‌هایی که از کنارشون رد میشیم خوب توجه کنید. دنیای عجیبیه.

لینک صفحه اینستاگرام 
https://www.instagram.com/moridewithmo/

لینک تلگرام 
https://t.me/ridewithmo",Auto & Vehicles,1
بریم دوکاتی بخریم 🥶,UCSKtK03rhl9irsdV3uFWiBg,2023-05-07 17:30:09.000,در ادامه سفر دبی رفتم فروشگاه دوکاتی و ام‌وی‌ آگوستا و تو این ویدیو می‌توانند همه ماجرا رو ببینید.,Auto & Vehicles,2
موتوری که رادار داره. مخصوص‌ادونچر بازها,UCSKtK03rhl9irsdV3uFWiBg,2023-05-06 16:47:04.000,,Auto & Vehicles,3
کار در سفر چطوریه؟ ازش پول در میاد؟,UCSKtK03rhl9irsdV3uFWiBg,2023-05-03 17:47:28.000,"همیشه این سوال برام خیلی مطرح بود که آیا میشه همیشه تو سفر بود و درآمد کسب کرد؟  یعنی بحث کسب درآمد آدم رو محدود به زمان￼ و مکان نکنه و از هرجایی بشه کار کرد تا بشه همیشه سفر رفت.
تو این قسمت با افرادی صحبت کردم که تجربیات خوبی تو این زمینه داشتن.


لینک صفحه اینستاگرام 
https://www.instagram.com/moridewithmo/

لینک تلگرام 
https://t.me/ridewithmo",Auto & Vehicles,4
هوندا تریل ۱۲۵ دوست داشتنی,UCSKtK03rhl9irsdV3uFWiBg,2023-05-01 12:30:07.000,,Auto & Vehicles,5
چطور فقط با ۵۰ میلیون تومان یک ماشین کمپری داشته باشیم؟,UCSKtK03rhl9irsdV3uFWiBg,2023-04-30 17:30:02.000,"در ادامه بازدید از نمایشگاه ماشین‌های کمپر در مورد ماشینی صحبت می‌کنیم که فقط با ۵۰ میلیون تومان تبدیل به ماشین کمپری شده و بعد هم پای صحبت علی‌آقا صاحب یکی از خفن‌ترین کمپرهای ایران می‌شینیم. 


لینک صفحه اینستاگرام 
https://www.instagram.com/moridewithmo/

لینک تلگرام 
https://t.me/ridewithmo",Auto & Vehicles,6
تصاویر لو رفته از هارلی جدید,UCSKtK03rhl9irsdV3uFWiBg,2023-04-30 17:03:59.000,,Auto & Vehicles,7
این خانمها همیشه با کمپر کف جاده‌ها هستن,UCSKtK03rhl9irsdV3uFWiBg,2023-04-26 17:30:02.000,"این ویدیو بخش اول از گزارش من از پنجمین همایش خودروهای کمپری هست. تو این گزارش از دوستان با تجربه در مورد دنیای کمپری و سفر پرسیدم و اونها تجربیات خودشون رو با من به اشتراک گذاشتن. اگر علاقه‌مند به ورود به این دنیا هستید این ویدیو می‌تونه شروع خوبی باشه. منتظر قسمتهای بعدی این مجموعه هم باشید. 

+++++++++++++++++++++++++++++++

لینک صفحه اینستاگرام 
https://www.instagram.com/moridewithmo/

لینک تلگرام 
https://t.me/ridewithmo",Auto & Vehicles,8
این موتور مرگبارترین موتور تاریخه. کلی زن رو بیوه کرده. 😳,UCSKtK03rhl9irsdV3uFWiBg,2023-04-24 13:57:30.000,,Auto & Vehicles,9
