video_title,channel_id,published_at,description,vertical,ranking
MERCEDES-BENZ W124 300 DIESEL OM606 TOP SPEED DRIVE ON GERMAN AUTOBAHN🏎,UCeeHT-3WejdX6uGBgCbE7SA,2024-01-10 14:46:55.000,"Mercedes-Benz W124 T Model 136HP OM 606 Oldtimer on German Autobahn POV & ROAD by #TopSpeedGermany 📍Subscribe for more videos: http://bit.ly/2pAZX4j

 🏎Dragy: 100-200 kph : not possible ! ;-)

🛒Shop for Special Car Parts: https://spezialteile24.com
📸Instagram: https://www.instagram.com/topspeedgermany/
___________________________________________________________________________

'Top Speed Germany' is a German Youtube channel for people who love cars.
My Name is Max and I film while driving cars. No matter if they are old, fast, loud or electric. They need to be special! With several onboard cams, I record everything important to show you High-Speed-Runs, Acceleration tests ( 0-100 kph / 0-200 kph  / 100-200 kph / 200-300 kph ) and test drives on German Autobahn or Road.  Please note, Germany is the country of ""no speed limit"" highways. So in some places, it's allowed to drive very fast. But please don't try this if you are not an experienced driver !!  If you enjoy give a like and subscribe for more videos ;-) .",Auto & Vehicles,6
2002 FORD GALAXY 1.9 TDI TOP SPEED DRIVE ON GERMAN AUTOBAHN 🏎,UCeeHT-3WejdX6uGBgCbE7SA,2024-01-09 16:18:00.000,"2002 Ford Galaxy 1.9 TDI '95/'00 Typ WGR 115 PS 350.000km Top Speed Autobahn POV ( No Speed Limit ) #TopSpeedGermany 📍Subscribe for more videos: http://bit.ly/2pAZX4j

 🏎Dragy: 
 - 100-200 kph : 68 sec. 
 - 0- 100 kph : ---- 

🛒Shop for Special Car Parts: https://spezialteile24.com
📸Instagram: https://www.instagram.com/topspeedgermany/
___________________________________________________________________________

'Top Speed Germany' is a German Youtube channel for people who love cars.
My Name is Max and I film while driving cars. No matter if they are old, fast, loud or electric. They need to be special! With several onboard cams, I record everything important to show you High-Speed-Runs, Acceleration tests ( 0-100 kph / 0-200 kph  / 100-200 kph / 200-300 kph ) and test drives on German Autobahn or Road.  Please note, Germany is the country of ""no speed limit"" highways. So in some places, it's allowed to drive very fast. But please don't try this if you are not an experienced driver !!  If you enjoy give a like and subscribe for more videos ;-) .",Auto & Vehicles,7
SUPERCHARGED BMW E61 M5 V10 TOURING  (700hp) - pure SOUND,UCeeHT-3WejdX6uGBgCbE7SA,2023-10-23 15:49:21.000,"BMW E61 M5 Touring 700HP INFINITAS  with brutal exhaust sound #TopSpeedGermany 
📍Subscribe for more videos: http://bit.ly/2pAZX4j
👉KOMPRESSOR: https://infinitas-automotive.com

🛒Shop for Special Car Parts: https://spezialteile24.com
📸Instagram: https://www.instagram.com/topspeedgermany/
___________________________________________________________________________

'Top Speed Germany' is a German Youtube channel for people who love cars.
My Name is Max and I film while driving cars. No matter if they are old, fast, loud or electric. They need to be special! With several onboard cams, I record everything important to show you High-Speed-Runs, Acceleration tests ( 0-100 kph / 0-200 kph  / 100-200 kph / 200-300 kph ) and test drives on German Autobahn or Road.  Please note, Germany is the country of ""no speed limit"" highways. So in some places, it's allowed to drive very fast. But please don't try this if you are not an experienced driver !!  If you enjoy give a like and subscribe for more videos ;-) .",Auto & Vehicles,8
Mercedes-Benz E55 AMG W211 TOP SPEED DRIVE ON GERMAN AUTOBAHN 🏎,UCeeHT-3WejdX6uGBgCbE7SA,2023-10-20 15:10:53.000,"2004 Mercedes Benz E-Class E55 AMG W211 S211 476HP Top Speed Autobahn POV ( No Speed Limit ) #TopSpeedGermany 
📍Subscribe for more videos: http://bit.ly/2pAZX4j

🥎Dragy: 
 - 100-200 kph : 9,2 sec
 - 0- 100 kph : ---- 

🛒Shop for Special Car Parts: https://spezialteile24.com
📸Instagram: https://www.instagram.com/topspeedgermany/
___________________________________________________________________________

'Top Speed Germany' is a German Youtube channel for people who love cars.
My Name is Max and I film while driving cars. No matter if they are old, fast, loud or electric. They need to be special! With several onboard cams, I record everything important to show you High-Speed-Runs, Acceleration tests ( 0-100 kph / 0-200 kph  / 100-200 kph / 200-300 kph ) and test drives on German Autobahn or Road.  Please note, Germany is the country of ""no speed limit"" highways. So in some places, it's allowed to drive very fast. But please don't try this if you are not an experienced driver !!  If you enjoy give a like and subscribe for more videos ;-) .",Auto & Vehicles,9
درگ لاکی 250 تی 3 و بنلی لئونچینو 250 | Drag Race : SYM Wolf 250 T3 vs Benelli leoncino,UCELGGcp87Rd9IyR9TAR2kXA,2023-05-01 17:30:06.000,"این ویدیو یکم متفاوت شد
چون به غیر از درگ یه پشت صحنه یکم غمگین داره
که البته فدای سر همتون و خیلی زود درست میشه
و توی تمام درگ هایی که گذاشته بودم تا الان این دوتا موتور برنده بودن که تو این ویدیو میفهمید که کدوم کدوم رو میزنه !!
مرسی که مثل همیشه حمایت میکنید
دمتون خیلی گرمه

دوستدار شما
گریپاژ

آدرس من در اینستاگرام
http://www.instagram.com/giripazh",Auto & Vehicles,1
درگ آر اس 200 و بنلی لئونچینو 250 | Drag Race : Pulsar Rs200 vs Benelli leoncino,UCELGGcp87Rd9IyR9TAR2kXA,2023-04-29 17:31:06.000,"این دفعه درگ لئونچینو پرشتاب و آر اس 200 که خیلی ها طرفدارشن !!
درسته که آر اس 200 سی سی حجم کمتری داره ولی اینو هم در نظر بگیرید که تو ایران قیمت بیشتری از لئونچینو داره
در کل اینم بگم که همه چیز شتاب و برنده شدن توی درگ نیست و باید خیلی چیزهارو برای خرید موتور در نظر گرفت
خوشحال میشم نظراتتون رو برام کامنت کنید
دمتون گرم 
دوستدار شما 
گریپاژ
آدرس من در اینستاگرام
http://www.instagram.com/giripazh",Auto & Vehicles,2
درگ آر اس 200 و بندا بی دی 250 | Drag Race : Pulsar Rs200 vs Keeway V302C,UCELGGcp87Rd9IyR9TAR2kXA,2023-04-25 17:30:00.000,"امروز درگ دو تا از موتور های بازار رو داریم که هم خیلی محبوبن هم ادعای شتاب زیادی دارن 
و کل کل بینشون زیاده 
یعنی پالس RS200
و بندا بی دی 250
 واقعا این درگ هم جذاب هم هیجان انگیز و باورنکردنی شده
امیدوارم لذت ببرید

دوستدار شما
گریپاژ

آدرس من در اینستاگرام
http://www.instagram.com/giripazh",Auto & Vehicles,3
درگ آر اس 200 و لاکی 250 تی 3 | Drag Race : Pulsar Rs200 vs SYM Wolf 250 T3,UCELGGcp87Rd9IyR9TAR2kXA,2023-04-23 17:30:09.000,"نمیشه من یه ویدیو بزارم و زیرش ننویسید که آر اس یا ان اس 200 میخورتش !! 
برای همین اوردیمشون توی درگ ها که ببینیم چی میشه 
و یه سری تغییرات هم تو درگ ها ایجاد کردیم که توی ویدیو راجبش توضیح دادم کاملا !!

دوستدار شما
گریپاژ

آدرس من در اینستاگرام
http://www.instagram.com/giripazh",Auto & Vehicles,4
درگ بنلی لئونچینو و بندا بی دی,UCELGGcp87Rd9IyR9TAR2kXA,2023-04-17 17:30:03.000,"در ادامه درگ بریم سراغ این درگ هیجان انگیز بین بنلی لئونچیتو و بندا بی دی !!
که هر دوتا ثابت کردن شتابای خوبی تو موتورهای پلاک دارن و ببینیم کدومشون برنده میشه !!
اگه این پلی لیست و درگ ها براتون جذاب بود توی کامنت ها بهم بگید که تعدادشو زیاد کنم

دمتون گرم
دوستدار شما
گریپاژ

آدرس من در اینستاگرام
http://www.instagram.com/giripazh",Auto & Vehicles,5
درگ بندا بی دی و بندا شیان,UCELGGcp87Rd9IyR9TAR2kXA,2023-04-16 17:30:04.000,"یکی از اولویت ما موتور سوارا شتاب موتورمونه
و کل انداختن با دوستامون که موتورم موتورتو میزنه از اهمیت زیادی برخورداره 😜
برای همین تصمیم گرفتم این ویدیو هارو شروع کنم و حسابی هم سرگرمتون میکنه

این اولین ویدیو درگ توی چنل هست 
پس هر نظر و پیشنهادی که دارید برام بنویسید تا بتونم هر روز کیفیتشو بیشتر کنیم
دمتون گرم
دوستدار شما
گریپاژ

آدرس من در اینستاگرام
http://www.instagram.com/giripazh",Auto & Vehicles,6
